uniprot_accession,protein_name,pathway,compound,cid
P00846,ATP synthase F(0) complex subunit a,Reactome_R-HSA-1430728,caffeine,2519
P00915,Carbonic anhydrase 1,Reactome_R-HSA-1430728,caffeine,2519
P00918,Carbonic anhydrase 2,Reactome_R-HSA-1430728,caffeine,2519
P00966,Argininosuccinate synthase,Reactome_R-HSA-1430728,caffeine,2519
P01019,Angiotensinogen,Reactome_R-HSA-1430728,caffeine,2519
P01130,Low-density lipoprotein receptor,Reactome_R-HSA-1430728,caffeine,2519
P01189,Pro-opiomelanocortin,Reactome_R-HSA-1430728,caffeine,2519
P01215,Glycoprotein hormones alpha chain,Reactome_R-HSA-1430728,caffeine,2519
P01222,Thyrotropin subunit beta,Reactome_R-HSA-1430728,caffeine,2519
P01229,Lutropin subunit beta,Reactome_R-HSA-1430728,caffeine,2519
P01275,Pro-glucagon,Reactome_R-HSA-1430728,caffeine,2519
P01308,Insulin,Reactome_R-HSA-1430728,caffeine,2519
P02647,Apolipoprotein A-I,Reactome_R-HSA-1430728,caffeine,2519
P02649,Apolipoprotein E,Reactome_R-HSA-1430728,caffeine,2519
P02652,Apolipoprotein A-II,Reactome_R-HSA-1430728,caffeine,2519
P02655,Apolipoprotein C-II,Reactome_R-HSA-1430728,caffeine,2519
P02656,Apolipoprotein C-III,Reactome_R-HSA-1430728,caffeine,2519
P02753,Retinol-binding protein 4,Reactome_R-HSA-1430728,caffeine,2519
P02766,Transthyretin,Reactome_R-HSA-1430728,caffeine,2519
P02768,Albumin,Reactome_R-HSA-1430728,caffeine,2519
P02774,Vitamin D-binding protein,Reactome_R-HSA-1430728,caffeine,2519
P03886,NADH-ubiquinone oxidoreductase chain 1,Reactome_R-HSA-1430728,caffeine,2519
P03891,NADH-ubiquinone oxidoreductase chain 2,Reactome_R-HSA-1430728,caffeine,2519
P03897,NADH-ubiquinone oxidoreductase chain 3,Reactome_R-HSA-1430728,caffeine,2519
P03905,NADH-ubiquinone oxidoreductase chain 4,Reactome_R-HSA-1430728,caffeine,2519
P03915,NADH-ubiquinone oxidoreductase chain 5,Reactome_R-HSA-1430728,caffeine,2519
P03923,NADH-ubiquinone oxidoreductase chain 6,Reactome_R-HSA-1430728,caffeine,2519
P03928,ATP synthase F(0) complex subunit 8,Reactome_R-HSA-1430728,caffeine,2519
P04035-1,HMDH_HUMAN,Reactome_R-HSA-1430728,caffeine,2519
P04054,Phospholipase A2,Reactome_R-HSA-1430728,caffeine,2519
P04062,Lysosomal acid glucosylceramidase,Reactome_R-HSA-1430728,caffeine,2519
P04075,Fructose-bisphosphate aldolase A,Reactome_R-HSA-1430728,caffeine,2519
P04114,Apolipoprotein B-100,Reactome_R-HSA-1430728,caffeine,2519
P04118,Colipase,Reactome_R-HSA-1430728,caffeine,2519
P04181,"Ornithine aminotransferase, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
P04183,"Thymidine kinase, cytosolic",Reactome_R-HSA-1430728,caffeine,2519
P04406,Glyceraldehyde-3-phosphate dehydrogenase,Reactome_R-HSA-1430728,caffeine,2519
P04424,Argininosuccinate lyase,Reactome_R-HSA-1430728,caffeine,2519
P04637,Cellular tumor antigen p53,Reactome_R-HSA-1430728,caffeine,2519
P04798,Cytochrome P450 1A1,Reactome_R-HSA-1430728,caffeine,2519
P04818,Thymidylate synthase,Reactome_R-HSA-1430728,caffeine,2519
