canonical_target,total_count,n_compounds,compounds
LBR,2,1,caffeine
LCK,2,1,caffeine
LGALS2,2,1,caffeine
LIG1,2,1,caffeine
LIG3,2,1,caffeine
LIMK1,2,1,caffeine
LIMK2,2,1,caffeine
LLGL2,2,1,caffeine
LMNA,2,1,caffeine
LMO7,2,1,caffeine
LNPEP,2,1,caffeine
LPAR4,2,1,caffeine
LPP,2,1,caffeine
LRBA,2,1,caffeine
LRCH4,2,1,caffeine
LRP4,2,1,caffeine
LRP6,2,1,caffeine
LSS,2,1,caffeine
MAP2K7,2,1,caffeine
MAPT,2,1,caffeine
MARCKS,2,1,caffeine
MARK2,2,1,caffeine
MLXIPL,2,1,caffeine
MMP13,2,1,caffeine
MSH6,2,1,caffeine
MSMO1,2,1,caffeine
MTRR,2,1,caffeine
MYC,2,1,caffeine
MYO9B,2,1,caffeine
MYRF,2,1,caffeine
NBR1,2,1,caffeine
NCL,2,1,caffeine
NFKB1,2,1,caffeine
NISCH,2,1,caffeine
NOS2,2,1,caffeine
NPHS1,2,1,caffeine
NPPA,2,1,caffeine
NR1I2,2,1,forskolin
NR2F6,2,1,caffeine
NR5A1,2,1,caffeine
PARP4,2,1,caffeine
PCSK9,2,1,caffeine
PDE4B,2,1,caffeine
PDE5A,2,1,caffeine
PDIA3,2,1,caffeine
PGM1,2,1,caffeine
PHB1,2,1,caffeine
PHEX,2,1,caffeine
PIDD1,2,1,caffeine
PIP5K1C,2,1,caffeine
PLCB1,2,1,caffeine
PLEC,2,1,caffeine
PLIN2,2,1,caffeine
POLR3D,2,1,caffeine
PPARA,2,1,caffeine
PPFIBP1,2,1,caffeine
PRKAA1,2,1,caffeine
PRKAA2,2,1,caffeine
PRKACA,2,1,caffeine
PRKAR1A,2,1,caffeine
PSMA5,2,1,caffeine
PTTG1IP,2,1,caffeine
PWP2,2,1,caffeine
RAB3IP,2,1,caffeine
RAB5C,2,1,caffeine
RABGEF1,2,1,caffeine
RAD50,2,1,caffeine
RAD51AP1,2,1,caffeine
RALGAPB,2,1,caffeine
RBBP5,2,1,caffeine
RBMX,2,1,caffeine
RERE,2,1,caffeine
RPA2,2,1,caffeine
RPL17,2,1,caffeine
RPL27A,2,1,caffeine
RPL29,2,1,caffeine
RPL4,2,1,caffeine
RPL5,2,1,caffeine
RPN1,2,1,caffeine
RPS19,2,1,caffeine
RPS20,2,1,caffeine
RPS3A,2,1,caffeine
RPS6,2,1,caffeine
RPS6KA3,2,1,caffeine
RPS6KB1,2,1,caffeine
RUNX1,2,1,caffeine
RYR3,2,1,caffeine
SCD1,2,1,caffeine
SCFD1,2,1,caffeine
SENP6,2,1,caffeine
SEPTIN7,2,1,caffeine
SERBP1,2,1,caffeine
SERPINA6,2,1,caffeine
SERPINB1,2,1,caffeine
SHARPIN,2,1,caffeine
SHROOM2,2,1,caffeine
SLC16A1,2,1,caffeine
SLC17A5,2,1,caffeine
SLC26A2,2,1,caffeine
SLC29A1,2,1,caffeine
SLC2A1,2,1,caffeine
SLC2A3,2,1,caffeine
SLC6A15,2,1,caffeine
SLC6A3,2,1,caffeine
SLCO1B3,2,1,Ginsenoside rb1
SMAD3,2,1,caffeine
SOD1,2,1,caffeine
SOD2,2,1,caffeine
SOWAHA,2,1,caffeine
SPP1,2,1,caffeine
SREBF1,2,1,caffeine
SREBF2,2,1,caffeine
SRSF2,2,1,caffeine
STIM1,2,1,caffeine
SULT2A1,2,1,caffeine
TFEB,2,1,Ginsenoside rb1
TIMM8A,2,1,caffeine
TOP1,2,1,caffeine
TRIM28,2,1,caffeine
TRPM3,2,1,maprotiline
TSC22D1,2,1,caffeine
UBA1,2,1,caffeine
VCAN,2,1,caffeine
XRCC6,2,1,caffeine
YWHAE,2,1,caffeine
ZBTB48,2,1,caffeine
ZFHX3,2,1,caffeine
ZFP36L1,2,1,caffeine
adenosine a2 receptor,2,1,caffeine
alpha 1b adrenergic receptor,2,1,maprotiline
alpha 1d adrenergic receptor,2,1,maprotiline
alpha 2a adrenergic receptor,2,1,maprotiline
alpha 2b adrenergic receptor,2,1,maprotiline
alpha 2c adrenergic receptor,2,1,maprotiline
cgmp inhibited 3 5 cyclic phosphodiesterase 3b,2,1,caffeine
cgmp specific 3 5 cyclic phosphodiesterase,2,1,caffeine
cytochrome p450 1a1,2,1,caffeine
cytochrome p450 1b1,2,1,caffeine
cytochrome p450 2c8,2,1,caffeine
cytochrome p450 2c9,2,1,caffeine
