uniprot_accession,total_count,n_compounds,compounds,symbol,geneid,n_pathways,pathways
O60716,2.0,1.0,caffeine,CTNND1,1500,0.0,
O60832,2.0,1.0,caffeine,DKC1,1736,0.0,
O75128,2.0,1.0,caffeine,COBL,23242,0.0,
O75369,2.0,1.0,caffeine,FLNB,2317,0.0,
O75460,2.0,1.0,caffeine,ERN1,2081,0.0,
O75469,2.0,1.0,forskolin,NR1I2,8856,0.0,
O75581,2.0,1.0,caffeine,LRP6,4040,0.0,
O75976,2.0,1.0,caffeine,CPD,1362,0.0,
O95069,2.0,1.0,caffeine,KCNK2,3776,0.0,
O95081,2.0,1.0,caffeine,AGFG2,3268,0.0,
O95477,2.0,1.0,caffeine,ABCA1,19,1.0,Reactome_R-HSA-1430728
O95573,2.0,1.0,caffeine,ACSL3,2181,0.0,
O96019,2.0,1.0,caffeine,ACTL6A,86,0.0,
P00367,2.0,1.0,caffeine,GLUD1,2746,0.0,
P00390,2.0,1.0,caffeine,GSR,2936,0.0,
P00441,2.0,1.0,caffeine,SOD1,6647,0.0,
P00489,2.0,1.0,caffeine,PYGM,100008972,0.0,
P00492,2.0,1.0,caffeine,HPRT1,3251,1.0,Reactome_R-HSA-1430728
P00505,2.0,1.0,caffeine,GOT2,2806,1.0,Reactome_R-HSA-1430728
P00519,2.0,1.0,caffeine,ABL1,25,0.0,
P00736,2.0,1.0,caffeine,C1R,715,0.0,
P00746,2.0,1.0,caffeine,CFD,1675,0.0,
P01019,2.0,1.0,caffeine,AGT,183,1.0,Reactome_R-HSA-1430728
P01034,2.0,1.0,caffeine,CST3,1471,0.0,
P01106,2.0,1.0,caffeine,MYC,4609,0.0,
P01112,2.0,1.0,caffeine,HRAS,3265,0.0,
P01160,2.0,1.0,caffeine,NPPA,4878,0.0,
P01241,2.0,1.0,caffeine,GH1,2688,0.0,
P01344,2.0,1.0,caffeine,IGF2,3481,0.0,
P01350,2.0,1.0,caffeine,GAST,2520,0.0,
P01589,2.0,1.0,caffeine,IL2RA,3559,0.0,
P02458,2.0,1.0,caffeine,COL2A1,1280,0.0,
P02656,2.0,1.0,caffeine,APOC3,345,1.0,Reactome_R-HSA-1430728
P02786,2.0,1.0,caffeine,TFRC,7037,0.0,
P02818,2.0,1.0,caffeine,BGLAP,632,0.0,
P03940,2.0,1.0,caffeine,CYP21A1,13079,0.0,
P03950,2.0,1.0,caffeine,ANG,283,0.0,
P04179,2.0,1.0,caffeine,SOD2,6648,0.0,
P04233,2.0,1.0,caffeine,CD74,972,0.0,
P04439,2.0,1.0,caffeine,HLA-A,3105,0.0,
P04626,2.0,1.0,caffeine,ERBB2,2064,0.0,
P04899,2.0,1.0,caffeine,GNAI2,2771,0.0,
P05023,2.0,1.0,caffeine,ATP1A1,476,0.0,
P05093,2.0,1.0,caffeine,CYP17A1,1586,1.0,Reactome_R-HSA-1430728
P05108,2.0,1.0,caffeine,CYP11A1,1583,4.0,Reactome_R-HSA-1430728;Reactome_R-HSA-211859;Reactome_R-HSA-211897;Reactome_R-HSA-211945
P05113,2.0,1.0,caffeine,IL5,3567,0.0,
P05114,2.0,1.0,caffeine,HMGN1,3150,0.0,
P05186,2.0,1.0,caffeine,ALPL,249,0.0,
P05305,2.0,1.0,caffeine,EDN1,1906,0.0,
P05412,2.0,1.0,caffeine,JUN,3725,0.0,
P05423,2.0,1.0,caffeine,POLR3D,661,0.0,
P05783,2.0,1.0,caffeine,KRT18,3875,0.0,
P06241,2.0,1.0,caffeine,FYN,2534,0.0,
P06858,2.0,1.0,caffeine,LPL,4023,0.0,
P07101,2.0,1.0,caffeine,TH,7054,1.0,Reactome_R-HSA-1430728
P07199,2.0,1.0,caffeine,CENPB,1059,0.0,
P07203,2.0,1.0,caffeine,GPX1,2876,0.0,
P07307,2.0,1.0,caffeine,ASGR2,433,0.0,
P07332,2.0,1.0,caffeine,FES,2242,0.0,
P07355,2.0,1.0,caffeine,ANXA2,302,0.0,
P07384,2.0,1.0,caffeine,CAPN1,823,0.0,
P07711,2.0,1.0,caffeine,CTSL,1514,1.0,Reactome_R-HSA-1430728
P07814,2.0,1.0,caffeine,EPRS1,2058,1.0,Reactome_R-HSA-1430728
P08185,2.0,1.0,caffeine,SERPINA6,866,1.0,Reactome_R-HSA-1430728
P08238,2.0,1.0,caffeine,HSP90AB1,3326,3.0,Reactome_R-HSA-1430728;Reactome_R-HSA-211859;Reactome_R-HSA-211945
P08243,2.0,1.0,caffeine,ASNS,440,1.0,Reactome_R-HSA-1430728
P08574,2.0,1.0,caffeine,CYC1,1537,1.0,Reactome_R-HSA-1430728
P08686,2.0,1.0,caffeine,CYP21A2,1589,4.0,Reactome_R-HSA-1430728;Reactome_R-HSA-211859;Reactome_R-HSA-211897;Reactome_R-HSA-211945
P08700,2.0,1.0,caffeine,IL3,3562,0.0,
P08833,2.0,1.0,caffeine,IGFBP1,3484,0.0,
P09016,2.0,1.0,caffeine,HOXD4,3233,0.0,
P09038,2.0,1.0,caffeine,FGF2,2247,0.0,
P09104,2.0,1.0,caffeine,ENO2,2026,1.0,Reactome_R-HSA-1430728
P09211,2.0,1.0,caffeine,GSTP1,2950,2.0,Reactome_R-HSA-1430728;Reactome_R-HSA-211859
P09543,2.0,1.0,caffeine,CNP,1267,0.0,
P09601,2.0,1.0,Ginsenoside rb1,HMOX1,3162,0.0,
P09629,2.0,1.0,caffeine,HOXB7,3217,0.0,
P09871,2.0,1.0,caffeine,C1S,716,0.0,
P09972,2.0,1.0,caffeine,ALDOC,230,1.0,Reactome_R-HSA-1430728
P0DMV8,2.0,1.0,caffeine,HSPA1B,3304,0.0,
P0DP91,2.0,1.0,caffeine,ERCC6,2074,0.0,
P10071,2.0,1.0,caffeine,GLI3,2737,0.0,
P10074,2.0,1.0,caffeine,ZBTB48,3104,0.0,
P10109,2.0,1.0,caffeine,FDX1,2230,1.0,Reactome_R-HSA-1430728
P10398,2.0,1.0,caffeine,ARAF,369,0.0,
P10415,2.0,1.0,caffeine,BCL2,596,0.0,
P10451,2.0,1.0,caffeine,SPP1,6696,0.0,
P10588,2.0,1.0,caffeine,NR2F6,2063,0.0,
P10632,2.0,1.0,caffeine,CYP2C8,1558,1.0,PathBank_SMP0000028
