uniprot_accession,total_count,n_compounds,compounds,symbol,geneid
Q00839,2,1,caffeine,HNRNPU,3192
Q00688,2,1,caffeine,FKBP3,2287
O75581,2,1,caffeine,LRP6,4040
O75469,2,1,forskolin,NR1I2,8856
Q00613,2,1,caffeine,HSF1,3297
Q00610,2,1,caffeine,CLTC,1213
Q02363,2,1,caffeine,ID2,3398
Q02224,2,1,caffeine,CENPE,1062
Q02127,2,1,caffeine,DHODH,1723
Q01850,2,1,caffeine,CDR2,1039
Q01658,2,1,caffeine,DR1,1810
Q03188,2,1,caffeine,CENPC,1060
Q03135,2,1,caffeine,CAV1,857
Q03060,2,1,caffeine,CREM,1390
P63241,2,1,caffeine,EIF5A,1984
P84077,2,1,caffeine,ARF1,375
P84022,2,1,caffeine,SMAD3,4088
P78563,2,1,caffeine,ADARB1,104
O75460,2,1,caffeine,ERN1,2081
P78527,2,1,caffeine,PRKDC,5591
Q00534,2,1,caffeine,CDK6,1021
Q00403,2,1,caffeine,GTF2B,2959
P98174,2,1,caffeine,FGD1,2245
P98160,2,1,caffeine,HSPG2,3339
P98095,2,1,caffeine,FBLN2,2199
P98082,2,1,caffeine,DAB2,1601
P86791,2,1,caffeine,CCZ1,51622
Q01484,2,1,caffeine,ANK2,287
Q01433,2,1,caffeine,AMPD2,271
Q01167,2,1,caffeine,FOXK2,3607
O75976,2,1,caffeine,CPD,1362
P55789,2,1,caffeine,GFER,2671
P61604,2,1,caffeine,HSPE1,3336
P60983,2,1,caffeine,GMFB,2764
P58107,2,1,caffeine,EPPK1,83481
P63218,2,1,caffeine,GNG5,2787
P63096,2,1,caffeine,GNAI1,2770
P62873,2,1,caffeine,GNB1,2782
P62861,2,1,caffeine,FAU,2197
P62736,2,1,caffeine,ACTA2,59
P62258,2,1,caffeine,YWHAE,7531
P61981,2,1,caffeine,YWHAG,7532
P61803,2,1,caffeine,DAD1,1603
P78347,2,1,caffeine,GTF2I,2969
P78310,2,1,caffeine,CXADR,1525
