,compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
211,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
212,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
213,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
214,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
215,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
216,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
217,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
218,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
219,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
220,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
221,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
222,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
223,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
224,caffeine,142,poly(ADP-ribose) polymerase 1,PARP1,P09874,P09874
225,caffeine,143,poly(ADP-ribose) polymerase family member 4,PARP4,Q9UKK3,Q9UKK3
226,caffeine,143,poly(ADP-ribose) polymerase family member 4,PARP4,Q9UKK3,Q9UKK3
227,caffeine,156,G protein-coupled receptor kinase 2,GRK2,P25098,P25098;A0A0S2Z392
228,caffeine,156,G protein-coupled receptor kinase 2,GRK2,P25098,P25098;A0A0S2Z392
229,caffeine,158,adenylosuccinate lyase,ADSL,P30566,P30566;A0A1B0GTG9;A0A1B0GWJ0;A0A7P0T8E4;A0A7P0Z472;X5D7W4;X5D8S6
230,caffeine,158,adenylosuccinate lyase,ADSL,P30566,P30566;A0A1B0GTG9;A0A1B0GWJ0;A0A7P0T8E4;A0A7P0Z472;X5D7W4;X5D8S6
231,caffeine,176,aggrecan,ACAN,P16112,P16112;A0A5K1VW97
232,caffeine,176,aggrecan,ACAN,P16112,P16112;A0A5K1VW97
233,caffeine,176,aggrecan,ACAN,P16112,P16112;A0A5K1VW97
234,caffeine,176,aggrecan,ACAN,P16112,P16112;A0A5K1VW97
235,caffeine,182,jagged canonical Notch ligand 1,JAG1,P78504,P78504;Q99740
236,caffeine,183,angiotensinogen,AGT,P01019,P01019;A0A7P0T8D1;B0ZBE2;B2R5S1
237,caffeine,183,angiotensinogen,AGT,P01019,P01019;A0A7P0T8D1;B0ZBE2;B2R5S1
