,compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
2387,caffeine,8659,aldehyde dehydrogenase 4 family member A1,ALDH4A1,P30038,P30038;A0A024RAC7
2388,caffeine,139285,APC membrane recruitment protein 1,AMER1,Q5JTC6,Q5JTC6
2389,caffeine,51433,anaphase promoting complex subunit 5,ANAPC5,Q9UJX4,Q9UJX4;F5H0F9
2390,caffeine,55238,solute carrier family 38 member 7,SLC38A7,Q9NVC3,Q9NVC3;H3BMC5
2391,caffeine,8501,solute carrier family 43 member 1,SLC43A1,O75387,O75387;B3KNL1
2392,caffeine,6522,solute carrier family 4 member 2,SLC4A2,P04920,P04920;Q59GF1
2393,caffeine,160728,solute carrier family 5 member 8,SLC5A8,Q8N695,Q8N695
2394,caffeine,84138,solute carrier family 7 member 6 opposite strand,SLC7A6OS,Q96CW6,Q96CW6
2395,caffeine,23315,solute carrier family 9 member A8,SLC9A8,Q9Y2E8,Q9Y2E8;B4DIX7
2396,caffeine,353189,solute carrier organic anion transporter family member 4C1,SLCO4C1,Q6ZQN7,Q6ZQN7
2397,caffeine,79811,SAFB like transcription modulator,SLTM,Q9NWH9,Q9NWH9
2398,caffeine,85395,SLX9 ribosome biogenesis factor,SLX9,Q9NSI2,Q9NSI2
2399,caffeine,6595,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2,SMARCA2,P51531,P51531;B1ALF6;B4DNT1;B4DSC8;F6T8Q0;F6VDE0;Q56A76;Q8N9Q1
2400,caffeine,6597,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4,SMARCA4,P51532,P51532;A0A2R8Y7S2;A7E2E1;B3KNW7;Q9HBD4
2401,caffeine,6599,SWI/SNF related BAF chromatin remodeling complex subunit C1,SMARCC1,Q92922,Q92922;Q58EY4
2402,caffeine,9126,structural maintenance of chromosomes 3,SMC3,Q9UQE7,Q9UQE7
2403,caffeine,23049,SMG1 nonsense mediated mRNA decay associated PI3K related kinase,SMG1,Q96Q15,Q96Q15
2404,caffeine,388588,small integral membrane protein 1 (Vel blood group),SMIM1,B2RUZ4,B2RUZ4;M4WDD3
2405,caffeine,55512,sphingomyelin phosphodiesterase 3,SMPD3,Q9NY59,Q9NY59;A8K0T6
2406,caffeine,8773,synaptosome associated protein 23,SNAP23,O00161,O00161;A8K287
2407,caffeine,27044,staphylococcal nuclease and tudor domain containing 1,SND1,Q7KZF4,Q7KZF4;A0A140VK49
2408,caffeine,9410,small nuclear ribonucleoprotein U5 subunit 40,SNRNP40,Q96DI7,Q96DI7;A0MNP2
2409,caffeine,6627,small nuclear ribonucleoprotein polypeptide A',SNRPA1,P09661,P09661
2410,caffeine,6645,syntrophin beta 2,SNTB2,Q13425,Q13425
2411,caffeine,6642,sorting nexin 1,SNX1,Q13596,Q13596
2412,caffeine,6643,sorting nexin 2,SNX2,O60749,O60749
2413,caffeine,29886,sorting nexin 8,SNX8,Q9Y5X2,Q9Y5X2
2414,caffeine,10174,sorbin and SH3 domain containing 3,SORBS3,O60504,O60504
2415,caffeine,6672,SP100 nuclear antigen,SP100,P23497,P23497
2416,caffeine,389058,Sp5 transcription factor,SP5,Q6BEB4,Q6BEB4
2417,caffeine,9552,sperm associated antigen 7,SPAG7,O75391,O75391
2418,caffeine,132671,spermatogenesis associated 18,SPATA18,Q8TC71,Q8TC71;A0A140VKF4
2419,caffeine,23013,spen family transcriptional repressor,SPEN,Q96T58,Q96T58
2420,caffeine,56907,spire type actin nucleation factor 1,SPIRE1,Q08AE8,Q08AE8;J3KNG6
2421,caffeine,10252,sprouty RTK signaling antagonist 1,SPRY1,O43609,O43609
2422,caffeine,6711,"spectrin beta, non-erythrocytic 1",SPTBN1,Q01082,Q01082;B2ZZ89
2423,caffeine,149563,steroid receptor associated and regulated protein,SRARP,Q8NEQ6,Q8NEQ6
2424,caffeine,80725,SRC kinase signaling inhibitor 1,SRCIN1,Q9C0H9,Q9C0H9
2425,caffeine,285672,SREK1 interacting protein 1,SREK1IP1,Q8N9Q2,Q8N9Q2
2426,caffeine,23380,SLIT-ROBO Rho GTPase activating protein 2,SRGAP2,O75044,O75044;A0A075B7B5;A0A1S5UZH8;B4DFE5;B7Z3G4;B7ZM87
2427,caffeine,6732,SRSF protein kinase 1,SRPK1,Q96SB4,Q96SB4
2428,caffeine,23524,serine/arginine repetitive matrix 2,SRRM2,Q9UQ35,Q9UQ35;A0A140VK53
2429,caffeine,92154,MTSS I-BAR domain containing 2,MTSS2,Q765P7,Q765P7
2430,caffeine,80198,MUS81 structure-specific endonuclease subunit,MUS81,Q96NY9,Q96NY9;Q53ES5
2431,caffeine,4597,mevalonate diphosphate decarboxylase,MVD,P53602,P53602
2432,caffeine,4605,MYB proto-oncogene like 2,MYBL2,P10244,P10244
2433,caffeine,23077,MYC binding protein 2,MYCBP2,O75592,O75592
2434,caffeine,4638,myosin light chain kinase,MYLK,Q15746,Q15746;A0A8I5KTQ1;A0A8I5KU53;Q05B97;Q05B98
2435,caffeine,80179,myosin XIX,MYO19,Q96H55,Q96H55;B4E218;B7Z1T7
2436,caffeine,4645,myosin VB,MYO5B,Q9ULV0,Q9ULV0;Q7Z7A5
2437,caffeine,4649,myosin IXA,MYO9A,B2RTY4,B2RTY4
2438,caffeine,9683,NEDD4 binding protein 1,N4BP1,O75113,O75113
2439,caffeine,4665,NGFI-A binding protein 2,NAB2,Q15742,Q15742
2440,caffeine,92345,nuclear assembly factor 1 ribonucleoprotein,NAF1,Q96HR8,Q96HR8
2441,caffeine,65065,neurobeachin like 1,NBEAL1,Q6ZS30,Q6ZS30;A0A804HKS6
2442,caffeine,23218,neurobeachin like 2,NBEAL2,Q6ZNJ1,Q6ZNJ1;A0A494C1V1
2443,caffeine,23310,non-SMC condensin II complex subunit D3,NCAPD3,P42695,P42695;A0A8I5KT00
2444,caffeine,23154,neurochondrin,NCDN,Q9UBB6,Q9UBB6
2445,caffeine,8202,nuclear receptor coactivator 3,NCOA3,Q9Y6Q9,Q9Y6Q9;Q59EE8
2446,caffeine,9612,nuclear receptor corepressor 2,NCOR2,Q9Y618,Q9Y618;C9J0Q5;C9JE98
2447,caffeine,10397,N-myc downstream regulated 1,NDRG1,Q92597,Q92597;Q8N959
2448,caffeine,4724,NADH:ubiquinone oxidoreductase subunit S4,NDUFS4,O43181,O43181;A0A0S2Z433
2449,caffeine,121441,NEDD1 gamma-tubulin ring complex targeting factor,NEDD1,Q8NHV4,Q8NHV4;A8K1Z3
2450,caffeine,252969,nei like DNA glycosylase 2,NEIL2,Q969S2,Q969S2
2451,caffeine,10783,NIMA related kinase 6,NEK6,Q9HC98,Q9HC98
2452,caffeine,7469,negative elongation factor complex member A,NELFA,Q9H3P2,Q9H3P2;A0A0C4DFX9
2453,caffeine,10825,neuraminidase 3,NEU3,Q9UQ49,Q9UQ49;B4E0V4;E9PI40;E9PMZ3;E9PNK1;E9PR25
2454,caffeine,4773,nuclear factor of activated T cells 2,NFATC2,Q13469,Q13469;B5B2P4
2455,caffeine,4784,nuclear factor I X,NFIX,Q14938,Q14938;B4DHW2;D2DXM9
2456,caffeine,4792,NFKB inhibitor alpha,NFKBIA,P25963,P25963
2457,caffeine,4800,nuclear transcription factor Y subunit alpha,NFYA,P23511,P23511
2458,caffeine,9351,NHERF family PDZ scaffold protein 2,NHERF2,Q15599,Q15599;H3BQS0
2459,caffeine,84365,nucleolar protein interacting with the FHA domain of MKI67,NIFK,Q9BYG3,Q9BYG3
2460,caffeine,11188,nischarin,NISCH,Q9Y2I1,Q9Y2I1;C9J715
2461,caffeine,11188,nischarin,NISCH,Q9Y2I1,Q9Y2I1;C9J715
2462,caffeine,4829,neuromedin B receptor,NMBR,P28336,P28336
2463,caffeine,4836,N-myristoyltransferase 1,NMT1,P30419,P30419
2464,caffeine,64318,NOC3 like DNA replication regulator,NOC3L,Q8WTT2,Q8WTT2
2465,caffeine,55035,nucleolar protein 8,NOL8,Q76FK4,Q76FK4;A6H8Z4
2466,caffeine,4839,NOP2 nucleolar protein,NOP2,P46087,P46087
2467,caffeine,29997,NOP53 ribosome biogenesis factor,NOP53,Q9NZM5,Q9NZM5
2468,caffeine,4843,nitric oxide synthase 2,NOS2,P35228,P35228
2469,caffeine,4843,nitric oxide synthase 2,NOS2,P35228,P35228
2470,caffeine,4851,notch receptor 1,NOTCH1,P46531,P46531
2471,caffeine,4868,"NPHS1 adhesion molecule, nephrin",NPHS1,O60500,O60500
2472,caffeine,4868,"NPHS1 adhesion molecule, nephrin",NPHS1,O60500,O60500
2473,caffeine,4869,nucleophosmin 1,NPM1,P06748,P06748;A0A0S2Z491;A0A0S2Z4G7;A0A140VJQ2;E5RI98
2474,caffeine,4879,natriuretic peptide B,NPPB,P16860,P16860
2475,caffeine,29982,nuclear receptor binding factor 2,NRBF2,Q96F24,Q96F24
2476,caffeine,8829,neuropilin 1,NRP1,O14786,O14786;A8K9V7;E9PEP6;Q59F20;Q6X907
2477,caffeine,51129,angiopoietin like 4,ANGPTL4,Q9BY76,Q9BY76
2478,caffeine,23141,ankyrin repeat and LEM domain containing 2,ANKLE2,Q86XL3,Q86XL3
2479,caffeine,26057,ankyrin repeat domain 17,ANKRD17,O75179,O75179
2480,caffeine,57182,ankyrin repeat domain 50,ANKRD50,Q9ULJ7,Q9ULJ7;Q8TB46
2481,caffeine,84168,ANTXR cell adhesion molecule 1,ANTXR1,Q9H6X2,Q9H6X2;H0YC24;Q53FL1;Q96EC6
2482,caffeine,164668,apolipoprotein B mRNA editing enzyme catalytic subunit 3H,APOBEC3H,Q6NTF7,Q6NTF7;A0A087WZI3;B7TQM3;B7TQM4;B7TQM8;B7TQM9
2483,caffeine,55937,apolipoprotein M,APOM,O95445,O95445;A0A1U9X793
2484,caffeine,55738,ARF GTPase activating protein 1,ARFGAP1,Q8N6T3,Q8N6T3;Q53F62
2485,caffeine,10564,ARF guanine nucleotide exchange factor 2,ARFGEF2,Q9Y6D5,Q9Y6D5;A0A7P0T7Z2;Q59FR3;Q86TH5
2486,caffeine,55082,arginine and glutamate rich 1,ARGLU1,Q9NWB6,Q9NWB6
2487,caffeine,55114,Rho GTPase activating protein 17,ARHGAP17,Q68EM7,Q68EM7
2488,caffeine,9411,Rho GTPase activating protein 29,ARHGAP29,Q52LW3,Q52LW3;A0A2X0U4J5
2489,caffeine,23526,Rho GTPase activating protein 45,ARHGAP45,Q92619,Q92619;B3KVA9;B3KXW7;F5H1R4;K7ES92;K7ES98;Q8IYN3
2490,caffeine,55160,Rho guanine nucleotide exchange factor 10 like,ARHGEF10L,Q9HCE6,Q9HCE6;B4DTL3;Q5VXI4
2491,caffeine,9828,Rho guanine nucleotide exchange factor 17,ARHGEF17,Q96PE2,Q96PE2
2492,caffeine,64283,Rho guanine nucleotide exchange factor 28,ARHGEF28,Q8N1W1,Q8N1W1
2493,caffeine,9459,Rac/Cdc42 guanine nucleotide exchange factor 6,ARHGEF6,Q15052,Q15052;B7Z3C7;Q8N4Q3
2494,caffeine,10865,AT-rich interaction domain 5A,ARID5A,Q03989,Q03989
2495,caffeine,23204,ARL6 interacting reticulophagy regulator 1,ARL6IP1,Q15041,Q15041
2496,caffeine,10095,actin related protein 2/3 complex subunit 1B,ARPC1B,O15143,O15143;A4D275
2497,caffeine,8853,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",ASAP2,O43150,O43150
2498,caffeine,8623,acetylserotonin O-methyltransferase like,ASMTL,O95671,O95671;B3KM43
2499,caffeine,171023,ASXL transcriptional regulator 1,ASXL1,Q8IXJ9,Q8IXJ9;A0A2R8Y5U1;Q498B9
2500,caffeine,54454,ATPase family AAA domain containing 2B,ATAD2B,Q9ULI0,Q9ULI0;B3KWS5
2501,caffeine,11016,activating transcription factor 7,ATF7,P17544,P17544
2502,caffeine,10533,autophagy related 7,ATG7,O95352,O95352;B3KQM6
2503,caffeine,6314,ataxin 7,ATXN7,O15265,O15265;Q9UPD8
2504,caffeine,56970,ataxin 7 like 3,ATXN7L3,Q14CW9,Q14CW9
2505,caffeine,9530,BAG cochaperone 4,BAG4,O95429,O95429
2506,caffeine,80115,BAR/IMD domain containing adaptor protein 2 like 2,BAIAP2L2,Q6UXY1,Q6UXY1
2507,caffeine,10409,brain abundant membrane attached signal protein 1,BASP1,P80723,P80723
2508,caffeine,11176,bromodomain adjacent to zinc finger domain 2A,BAZ2A,Q9UIF9,Q9UIF9;F8VU39;J3KPG5
2509,caffeine,56987,BBX high mobility group box domain containing,BBX,Q8WY36,Q8WY36;A8K6U2
2510,caffeine,54828,BCAS3 microtubule associated cell migration factor,BCAS3,Q9H6U6,Q9H6U6;Q05D99
2511,caffeine,9275,BAF chromatin remodeling complex subunit BCL7B,BCL7B,Q9BQE9,Q9BQE9;F2Z3H6
2512,caffeine,9774,BCL2 associated transcription factor 1,BCLAF1,Q9NYF8,Q9NYF8;E9PK91
2513,caffeine,57673,BEN domain containing 3,BEND3,Q5T5X7,Q5T5X7
2514,caffeine,23299,BICD cargo adaptor 2,BICD2,Q8TD16,Q8TD16;Q96FU2
2515,caffeine,57448,baculoviral IAP repeat containing 6,BIRC6,Q9NR09,Q9NR09;A0A8V8TQB4;A0A8V8TR92
2516,caffeine,54887,bridge-like lipid transfer protein family member 3A,BLTP3A,Q6BDS2,Q6BDS2
2517,caffeine,23246,BOP1 ribosomal biogenesis factor,BOP1,Q14137,Q14137
2518,caffeine,119032,BLOC-1 related complex subunit 7,BORCS7,Q96B45,Q96B45
2519,caffeine,8315,BRCA1 associated protein,BRAP,Q7Z569,Q7Z569;Q59H81
2520,caffeine,6046,bromodomain containing 2,BRD2,P25440,P25440;A0A1U9X7A8;E9PIQ3;X5CF57
2521,caffeine,10902,bromodomain containing 8,BRD8,Q9H0E9,Q9H0E9;B4DEG9;B4DMS9;B4DN43
2522,caffeine,79173,break repair meiotic recombinase recruitment factor 1,BRME1,Q0VDD7,Q0VDD7;K7EMZ7
2523,caffeine,54014,bromodomain and WD repeat domain containing 1,BRWD1,Q9NSI6,Q9NSI6
2524,caffeine,84811,BUD13 spliceosome associated protein,BUD13,Q9BRD0,Q9BRD0
2525,caffeine,388327,chromosome 17 open reading frame 100,C17ORF100,A8MU93,A8MU93
2526,caffeine,400793,chromosome 1 open reading frame 226,C1ORF226,A1L170,A1L170
2527,caffeine,9847,C2 calcium dependent domain containing 5,C2CD5,Q86YS7,Q86YS7;B7ZLK1
2528,caffeine,9847,C2 calcium dependent domain containing 5,C2CD5,Q86YS7,Q86YS7;B7ZLK1
2529,caffeine,51759,chromosome 9 open reading frame 78,C9ORF78,Q9NZ63,Q9NZ63
2530,caffeine,9254,calcium voltage-gated channel auxiliary subunit alpha2delta 2,CACNA2D2,Q9NY47,Q9NY47;C9JE82
2531,caffeine,10645,calcium/calmodulin dependent protein kinase kinase 2,CAMKK2,Q96RR4,Q96RR4
2532,caffeine,23125,calmodulin binding transcription activator 2,CAMTA2,O94983,O94983;I3L3W6
2533,caffeine,64170,caspase recruitment domain family member 9,CARD9,Q9H257,Q9H257
2534,caffeine,255057,CACN subunit beta associated regulatory protein,CBARP,Q8N350,Q8N350
2535,caffeine,10951,chromobox 1,CBX1,P83916,P83916;Q6IBN6
2536,caffeine,57332,chromobox 8,CBX8,Q9HC52,Q9HC52
2537,caffeine,90060,coiled-coil domain containing 120,CCDC120,Q96HB5,Q96HB5
2538,caffeine,51244,coiled-coil domain containing 174,CCDC174,Q6PII3,Q6PII3;A0A0B4J1R8
2539,caffeine,317762,coiled-coil domain containing 85C,CCDC85C,A6NKD9,A6NKD9
2540,caffeine,26093,coiled-coil domain containing 9,CCDC9,Q9Y3X0,Q9Y3X0;A0A2R8Y4Z8;B4DXW2
2541,caffeine,57018,cyclin L1,CCNL1,Q9UK58,Q9UK58
2542,caffeine,151195,cyclin Y like 1,CCNYL1,Q8N7R7,Q8N7R7
2543,caffeine,10575,chaperonin containing TCP1 subunit 4,CCT4,P50991,P50991
2544,caffeine,51622,CCZ1 vacuolar protein trafficking and biogenesis associated,CCZ1,P86791,P86791
2545,caffeine,51622,CCZ1 vacuolar protein trafficking and biogenesis associated,CCZ1,P86791,P86791
2546,caffeine,4267,CD99 molecule (Xg blood group),CD99,P14209,P14209;A0A096LP69
2547,caffeine,55664,"cell division cycle 37 like 1, HSP90 cochaperone",CDC37L1,Q7L3B6,Q7L3B6
2548,caffeine,23580,CDC42 effector protein 4,CDC42EP4,Q9H3Q1,Q9H3Q1;B2R6D8
2549,caffeine,113130,cell division cycle associated 5,CDCA5,Q96FF9,Q96FF9
2550,caffeine,8621,cyclin dependent kinase 13,CDK13,Q14004,Q14004;Q9BVE2
2551,caffeine,55602,CDKN2A interacting protein,CDKN2AIP,Q9NXV6,Q9NXV6;B3KTW3;J3KNE1
2552,caffeine,55573,CDV3 homolog,CDV3,Q9UKY7,Q9UKY7;A0A8I5KX85;D6R9V8;D6RDN0;D6RFH2
2553,caffeine,201161,centromere protein V,CENPV,Q7Z7K6,Q7Z7K6
2554,caffeine,9859,centrosomal protein 170,CEP170,Q5SW79,Q5SW79
2555,caffeine,9857,centrosomal protein 350,CEP350,Q5VT06,Q5VT06;Q5T2X4
2556,caffeine,84131,centrosomal protein 78,CEP78,Q5JTW2,Q5JTW2;A0A2R8YCP0;A8MST6
2557,caffeine,10087,ceramide transporter 1,CERT1,Q9Y5P4,Q9Y5P4;A0A2R8Y7C5
2558,caffeine,57587,cilia and flagella associated protein 97,CFAP97,Q9P2B7,Q9P2B7
2559,caffeine,57530,cingulin,CGN,Q9P2M7,Q9P2M7
2560,caffeine,283489,chromosome alignment maintaining phosphoprotein 1,CHAMP1,Q96JM3,Q96JM3
2561,caffeine,57680,chromodomain helicase DNA binding protein 8,CHD8,Q9HCK8,Q9HCK8
2562,caffeine,11200,checkpoint kinase 2,CHEK2,O96017,O96017;A0A7P0MUT5
2563,caffeine,11200,checkpoint kinase 2,CHEK2,O96017,O96017;A0A7P0MUT5
2564,caffeine,11200,checkpoint kinase 2,CHEK2,O96017,O96017;A0A7P0MUT5
2565,caffeine,11200,checkpoint kinase 2,CHEK2,O96017,O96017;A0A7P0MUT5
2566,caffeine,11200,checkpoint kinase 2,CHEK2,O96017,O96017;A0A7P0MUT5
2567,caffeine,11200,checkpoint kinase 2,CHEK2,O96017,O96017;A0A7P0MUT5
2568,caffeine,11200,checkpoint kinase 2,CHEK2,O96017,O96017;A0A7P0MUT5
2569,caffeine,11200,checkpoint kinase 2,CHEK2,O96017,O96017;A0A7P0MUT5
2570,caffeine,10523,calcium homeostasis endoplasmic reticulum protein,CHERP,Q8IWX8,Q8IWX8
2571,caffeine,79643,charged multivesicular body protein 6,CHMP6,Q96FZ7,Q96FZ7
2572,caffeine,57019,cytokine induced apoptosis inhibitor 1,CIAPIN1,Q6FI81,Q6FI81;H3BT65
2573,caffeine,30095,"creatine kinase, muscle a",CKMA,A2BHA3,A2BHA3
2574,caffeine,23155,chloride channel CLIC like 1,CLCC1,Q96S66,Q96S66;A0A6Q8PG14
2575,caffeine,9685,clathrin interactor 1,CLINT1,Q14677,Q14677;A0A0S2Z4Y4;A0A0S2Z5H3
2576,caffeine,9575,clock circadian regulator,CLOCK,O15516,O15516;Q3ZCT4;Q53EU0
2577,caffeine,146223,CKLF like MARVEL transmembrane domain containing 4,CMTM4,Q8IZR5,Q8IZR5
2578,caffeine,10256,connector enhancer of kinase suppressor of Ras 1,CNKSR1,Q969H4,Q969H4;B4DL25;G3V160;Q53GM7
2579,caffeine,54805,cyclin and CBS domain divalent metal cation transport mediator 2,CNNM2,Q9H8M5,Q9H8M5
2580,caffeine,8533,COP9 signalosome subunit 3,COPS3,Q9UNS2,Q9UNS2;B4DN01
2581,caffeine,132864,cytoplasmic polyadenylation element binding protein 2,CPEB2,Q7Z5Q1,Q7Z5Q1;A0A5K1VW61;A0A5K1VW71;A0A5K1VW79;A0A5K1VW93
2582,caffeine,51692,cleavage and polyadenylation specific factor 3,CPSF3,Q9UKF6,Q9UKF6;G5E9W3
2583,caffeine,9419,CXXC repeat containing interactor of PDZ3 domain,CRIPT,Q9P021,Q9P021
2584,caffeine,200186,CREB regulated transcription coactivator 2,CRTC2,Q53ET0,Q53ET0
2585,caffeine,200186,CREB regulated transcription coactivator 2,CRTC2,Q53ET0,Q53ET0
2586,caffeine,335789,"crystallin, gamma MX",CRYGMX,Q5XTN0,Q5XTN0
2587,caffeine,9150,CTD phosphatase subunit 1,CTDP1,Q9Y5B0,Q9Y5B0
2588,caffeine,8727,catenin alpha like 1,CTNNAL1,Q9UBT7,Q9UBT7;B3KMX6
2589,caffeine,56998,catenin beta interacting protein 1,CTNNBIP1,Q9NSA3,Q9NSA3
2590,caffeine,8451,cullin 4A,CUL4A,Q13619,Q13619;A0A087WWN2;A0A0A0MR50
2591,caffeine,143884,CWF19 like cell cycle control factor 2,CWF19L2,Q2TBE0,Q2TBE0
2592,caffeine,54467,ankyrin repeat and IBR domain containing 1,ANKIB1,Q9P2G1,Q9P2G1
2593,caffeine,88455,ankyrin repeat domain 13A,ANKRD13A,Q8IZ07,Q8IZ07;Q3ZTS7;Q9Y5A3
2594,caffeine,353322,ankyrin repeat domain 37,ANKRD37,Q7Z713,Q7Z713;B4E066
2595,caffeine,54443,"anillin, actin binding protein",ANLN,Q9NQW6,Q9NQW6;A8K5D9
2596,caffeine,8907,adaptor related protein complex 1 subunit mu 1,AP1M1,Q9BXS5,Q9BXS5;B3KNH5;Q59EK3
2597,caffeine,9546,amyloid beta precursor protein binding family A member 3,APBA3,O96018,O96018
2598,caffeine,8542,apolipoprotein L1,APOL1,O14791,O14791;B1AH95;Q2KHQ6
2599,caffeine,39226,Aps pyrophosphatase,APS,Q7JVG2,Q7JVG2
2600,caffeine,10565,ARF guanine nucleotide exchange factor 1,ARFGEF1,Q9Y6D6,Q9Y6D6
2601,caffeine,23647,ARF interacting protein 2,ARFIP2,P53365,P53365;A0A087X1E4;B4DUZ3;B4DXH2
2602,caffeine,94134,Rho GTPase activating protein 12,ARHGAP12,Q8IWW6,Q8IWW6;Q1RLN5
2603,caffeine,23092,Rho GTPase activating protein 26,ARHGAP26,Q9UNA1,Q9UNA1;A0A0S2Z536;A0A2R8YGB3
2604,caffeine,80728,Rho GTPase activating protein 39,ARHGAP39,Q9C0H5,Q9C0H5;B3KS00;B4DK23
2605,caffeine,9138,Rho guanine nucleotide exchange factor 1,ARHGEF1,Q92888,Q92888;M0QZR4
2606,caffeine,27237,Rho guanine nucleotide exchange factor 16,ARHGEF16,Q5VV41,Q5VV41;B3KTS4
2607,caffeine,26084,Rho guanine nucleotide exchange factor 26,ARHGEF26,Q96DR7,Q96DR7;A0A140VJU4;B3KXG0
2608,caffeine,7984,Rho guanine nucleotide exchange factor 5,ARHGEF5,Q12774,Q12774
2609,caffeine,196528,AT-rich interaction domain 2,ARID2,Q68CP9,Q68CP9;F8WCU9
2610,caffeine,51742,AT-rich interaction domain 4B,ARID4B,Q4LE39,Q4LE39
2611,caffeine,55156,armadillo repeat containing 1,ARMC1,Q9NVT9,Q9NVT9
2612,caffeine,50807,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",ASAP1,Q9ULH1,Q9ULH1;A0A0A0MRE5
2613,caffeine,79058,"ASPSCR1 tether for SLC2A4, UBX domain containing",ASPSCR1,Q9BZE9,Q9BZE9
2614,caffeine,29028,ATPase family AAA domain containing 2,ATAD2,Q6PL18,Q6PL18
2615,caffeine,11101,arginyltransferase 1,ATE1,O95260,O95260;A0A8I5KNT9;A0A8I5KTH0;A0A8I5KZ24;A0A8I5KZ28;B3KWA3;B4DK25;B4E107;F5GXE4;F8WAC9
2616,caffeine,55102,autophagy related 2B,ATG2B,Q96BY7,Q96BY7
2617,caffeine,64225,atlastin GTPase 2,ATL2,Q8NHH9,Q8NHH9;B5MCN0;B7Z2H0
2618,caffeine,11273,ataxin 2 like,ATXN2L,Q8WWM7,Q8WWM7;H3BUF6
2619,caffeine,79572,ATPase 13A3,ATP13A3,Q9H7F0,Q9H7F0;A0A2R8Y635
2620,caffeine,494489,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1, like",ATP2A1L,A0A2R8RK22,A0A2R8RK22;A0JMP4
2621,caffeine,23545,ATPase H+ transporting V0 subunit a2,ATP6V0A2,Q9Y487,Q9Y487
2622,caffeine,64756,ATP synthase mitochondrial F1 complex assembly factor 1,ATPAF1,Q5TC12,Q5TC12;A8MRA7;I3L448
2623,caffeine,8455,attractin,ATRN,O75882,O75882;B4DZ36
2624,caffeine,6311,ataxin 2,ATXN2,Q99700,Q99700;A0A5F9ZI57;F8VQP2;Q2M2R5;V9GY86
2625,caffeine,57099,apoptosis and caspase activation inhibitor,AVEN,Q9NQS1,Q9NQS1
2626,caffeine,9531,BAG cochaperone 3,BAG3,O95817,O95817
2627,caffeine,55971,BAR/IMD domain containing adaptor protein 2 like 1,BAIAP2L1,Q9UHR4,Q9UHR4
2628,caffeine,9031,bromodomain adjacent to zinc finger domain 1B,BAZ1B,Q9UIG0,Q9UIG0
2629,caffeine,27113,BCL2 binding component 3,BBC3,Q96PG8,Q96PG8;Q9BXH1
2630,caffeine,27113,BCL2 binding component 3,BBC3,Q96PG8,Q96PG8;Q9BXH1
2631,caffeine,8412,"BCAR3 adaptor protein, NSP family member",BCAR3,O75815,O75815;A0A384MTS3;B3KNL6;B3KP06
2632,caffeine,570772,BCL2 apoptosis regulator a,BCL2A,Q564A4,Q564A4
2633,caffeine,283149,BCL9 like,BCL9L,Q86UU0,Q86UU0;A0A087WZX0
2634,caffeine,63035,BCL6 corepressor like 1,BCORL1,Q5H9F3,Q5H9F3
2635,caffeine,8678,beclin 1,BECN1,Q14457,Q14457;A0A024R1X5;B4DQ36;E7EV84;W0FFG4
2636,caffeine,9703,bridge-like lipid transfer protein family member 2,BLTP2,Q14667,Q14667
2637,caffeine,55589,BMP2 inducible kinase,BMP2K,Q9NSY1,Q9NSY1
2638,caffeine,51027,bolA family member 1,BOLA1,Q9Y3E2,Q9Y3E2
2639,caffeine,54785,BLOC-1 related complex subunit 6,BORCS6,Q96GS4,Q96GS4
2640,caffeine,36665,Cytochrome P450 6a21,CYP6A21,Q9V774,Q9V774
2641,caffeine,23774,bromodomain containing 1,BRD1,O95696,O95696;Q59G93
2642,caffeine,29117,bromodomain containing 7,BRD7,Q9NPI1,Q9NPI1;A0AA34QVS2
2643,caffeine,83990,BRCA1 interacting DNA helicase 1,BRIP1,Q9BX63,Q9BX63;A0A804HJU1;A0A804HL36;J3QKX0
2644,caffeine,27154,bromodomain and PHD finger containing 3,BRPF3,Q9ULD4,Q9ULD4;F6XDC4
2645,caffeine,9044,B-TFIID TATA-box binding protein associated factor 1,BTAF1,O14981,O14981;Q2M1V9;Q8N6J1
2646,caffeine,56905,chromosome 15 open reading frame 39,C15ORF39,Q6ZRI6,Q6ZRI6
2647,caffeine,339448,chromosome 1 open reading frame 174,C1ORF174,Q8IYL3,Q8IYL3;A0A7P0TAC3
2648,caffeine,65265,chromosome 8 open reading frame 33,C8ORF33,Q9H7E9,Q9H7E9
2649,caffeine,91768,Cdk5 and Abl enzyme substrate 1,CABLES1,Q8TDN4,Q8TDN4;A7K6Y5
2650,caffeine,55450,calcium/calmodulin dependent protein kinase II inhibitor 1,CAMK2N1,Q7Z7J9,Q7Z7J9
2651,caffeine,57662,calmodulin regulated spectrin associated protein family member 3,CAMSAP3,Q9P1Y5,Q9P1Y5
2652,caffeine,146206,capping protein regulator and myosin 1 linker 2,CARMIL2,Q6F5E8,Q6F5E8;A0A8Q3SIB7;A0A8Q3SII9
2653,caffeine,552940,caveolae associated protein 4a,CAVIN4A,A1L260,A1L260
2654,caffeine,23466,chromobox 6,CBX6,O95503,O95503;B0QXZ6
