compound,protein,normalized_target,is_gene,gene_symbol_mygene,score,notfound,canonical_target
caffeine,BNIP3,BNIP3,True,,,,BNIP3
caffeine,BNIP3L,BNIP3L,True,,,,BNIP3L
caffeine,DST,DST,True,,,,DST
caffeine,BRCA1,BRCA1,True,,,,BRCA1
caffeine,BRAF,BRAF,True,,,,BRAF
caffeine,BRCA2,BRCA2,True,,,,BRCA2
caffeine,ZFP36L1,ZFP36L1,True,,,,ZFP36L1
caffeine,ZFP36L2,ZFP36L2,True,,,,ZFP36L2
caffeine,BSG,BSG,True,,,,BSG
caffeine,BTF3,BTF3,True,,,,BTF3
caffeine,BUB1,BUB1,True,,,,BUB1
caffeine,BUB1,BUB1,True,,,,BUB1
caffeine,BUB1B,BUB1B,True,,,,BUB1B
caffeine,C1QBP,C1QBP,True,,,,C1QBP
caffeine,C1R,C1R,True,,,,C1R
caffeine,C1S,C1S,True,,,,C1S
caffeine,MYRF,MYRF,True,,,,MYRF
caffeine,DAGLA,DAGLA,True,,,,DAGLA
caffeine,PTTG1IP,PTTG1IP,True,,,,PTTG1IP
caffeine,CFAP410,CFAP410,True,,,,CFAP410
caffeine,Carbonic anhydrase 1,carbonic anhydrase 1,False,CA1,,False,CA1
caffeine,Carbonic anhydrase 2,carbonic anhydrase 2,False,CA2,,False,CA2
caffeine,CACNA1S,CACNA1S,True,,,,CACNA1S
caffeine,DDR1,DDR1,True,,,,DDR1
caffeine,CAD,CAD,True,,,,CAD
caffeine,CAD,CAD,True,,,,CAD
caffeine,CALM1,CALM1,True,,,,CALM1
caffeine,CALM1,CALM1,True,,,,CALM1
caffeine,CALR,CALR,True,,,,CALR
caffeine,CALU,CALU,True,,,,CALU
caffeine,CALU,CALU,True,,,,CALU
caffeine,CAMK2B,CAMK2B,True,,,,CAMK2B
caffeine,CAMK2D,CAMK2D,True,,,,CAMK2D
caffeine,CAMK2G,CAMK2G,True,,,,CAMK2G
caffeine,CANX,CANX,True,,,,CANX
caffeine,CAPN1,CAPN1,True,,,,CAPN1
caffeine,CAPN2,CAPN2,True,,,,CAPN2
caffeine,CAST,CAST,True,,,,CAST
caffeine,CARS1,CARS1,True,,,,CARS1
caffeine,CASP2,CASP2,True,,,,CASP2
caffeine,CASP2,CASP2,True,,,,CASP2
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP8,CASP8,True,,,,CASP8
caffeine,CASP9,CASP9,True,,,,CASP9
caffeine,CASP9,CASP9,True,,,,CASP9
caffeine,CASP9,CASP9,True,,,,CASP9
caffeine,CASP9,CASP9,True,,,,CASP9
caffeine,CAT,CAT,True,,,,CAT
caffeine,CAT,CAT,True,,,,CAT
caffeine,CAT,CAT,True,,,,CAT
caffeine,CAT,CAT,True,,,,CAT
caffeine,CAV1,CAV1,True,,,,CAV1
caffeine,CAV3,CAV3,True,,,,CAV3
caffeine,RUNX2,RUNX2,True,,,,RUNX2
caffeine,RUNX1,RUNX1,True,,,,RUNX1
caffeine,SERPINA6,SERPINA6,True,,,,SERPINA6
caffeine,CBLB,CBLB,True,,,,CBLB
caffeine,CBS,CBS,True,,,,CBS
caffeine,CCNB1,CCNB1,True,,,,CCNB1
caffeine,CCNB1,CCNB1,True,,,,CCNB1
caffeine,CCNB1,CCNB1,True,,,,CCNB1
caffeine,CCNB1,CCNB1,True,,,,CCNB1
caffeine,CCNB1,CCNB1,True,,,,CCNB1
caffeine,CCNE1,CCNE1,True,,,,CCNE1
caffeine,CCNF,CCNF,True,,,,CCNF
caffeine,CCNG1,CCNG1,True,,,,CCNG1
caffeine,CCNG1,CCNG1,True,,,,CCNG1
caffeine,CCNH,CCNH,True,,,,CCNH
caffeine,CCNT2,CCNT2,True,,,,CCNT2
caffeine,CCT6A,CCT6A,True,,,,CCT6A
caffeine,CD9,CD9,True,,,,CD9
caffeine,CD36,CD36,True,,,,CD36
caffeine,SCARB1,SCARB1,True,,,,SCARB1
caffeine,SCARB1,SCARB1,True,,,,SCARB1
caffeine,SCARB1,SCARB1,True,,,,SCARB1
caffeine,SCARB1,SCARB1,True,,,,SCARB1
caffeine,SCARB1,SCARB1,True,,,,SCARB1
caffeine,CD59,CD59,True,,,,CD59
caffeine,CD74,CD74,True,,,,CD74
caffeine,CDK1,CDK1,True,,,,CDK1
caffeine,CDK1,CDK1,True,,,,CDK1
caffeine,CDK1,CDK1,True,,,,CDK1
caffeine,CDK1,CDK1,True,,,,CDK1
caffeine,CDK1,CDK1,True,,,,CDK1
caffeine,CDK11B,CDK11B,True,,,,CDK11B
caffeine,LRBA,LRBA,True,,,,LRBA
caffeine,CDC5L,CDC5L,True,,,,CDC5L
caffeine,SEPTIN7,SEPTIN7,True,,,,SEPTIN7
caffeine,CDC6,CDC6,True,,,,CDC6
caffeine,CDC20,CDC20,True,,,,CDC20
caffeine,CDC25B,CDC25B,True,,,,CDC25B
caffeine,CDC25B,CDC25B,True,,,,CDC25B
caffeine,CDC25C,CDC25C,True,,,,CDC25C
caffeine,CDC25C,CDC25C,True,,,,CDC25C
caffeine,CDC25C,CDC25C,True,,,,CDC25C
caffeine,CDC27,CDC27,True,,,,CDC27
caffeine,CDH1,CDH1,True,,,,CDH1
caffeine,CDH1,CDH1,True,,,,CDH1
caffeine,CDH5,CDH5,True,,,,CDH5
caffeine,CDH11,CDH11,True,,,,CDH11
caffeine,CDK2,CDK2,True,,,,CDK2
caffeine,CDK2,CDK2,True,,,,CDK2
caffeine,CDK2,CDK2,True,,,,CDK2
caffeine,CDK4,CDK4,True,,,,CDK4
caffeine,CDK4,CDK4,True,,,,CDK4
