compound,protein,normalized_target,is_gene
caffeine,CTSB,CTSB,True
caffeine,CTSD,CTSD,True
caffeine,CTSL,CTSL,True
caffeine,CUX1,CUX1,True
caffeine,CXADR,CXADR,True
caffeine,CYBA,CYBA,True
caffeine,CYC1,CYC1,True
caffeine,CYP1A1,CYP1A1,True
caffeine,Cytochrome P450 1A1,cytochrome p450 1a1,False
caffeine,CYP1A1,CYP1A1,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,CYP1A2,CYP1A2,True
caffeine,Cytochrome P450 1A2,cytochrome p450 1a2,False
caffeine,CYP1A2,CYP1A2,True
caffeine,Cytochrome P450 1B1,cytochrome p450 1b1,False
caffeine,CYP1B1,CYP1B1,True
caffeine,CYP2A6,CYP2A6,True
caffeine,CYP2A6,CYP2A6,True
caffeine,CYP2A6,CYP2A6,True
caffeine,CYP2C19,CYP2C19,True
caffeine,Cytochrome P450 2C8,cytochrome p450 2c8,False
caffeine,CYP2C9,CYP2C9,True
caffeine,Cytochrome P450 2C9,cytochrome p450 2c9,False
caffeine,CYP2C9,CYP2C9,True
caffeine,Cytochrome P450 2D6,cytochrome p450 2d6,False
caffeine,CYP2D6,CYP2D6,True
caffeine,CYP2D6,CYP2D6,True
caffeine,Cytochrome P450 2E1,cytochrome p450 2e1,False
caffeine,CYP2E1,CYP2E1,True
caffeine,Cytochrome P450 3A4,cytochrome p450 3a4,False
caffeine,CYP3A4,CYP3A4,True
caffeine,CYP3A4,CYP3A4,True
caffeine,CYP3A4,CYP3A4,True
caffeine,CYP4B1,CYP4B1,True
caffeine,CYP11A1,CYP11A1,True
caffeine,CYP11B1,CYP11B1,True
caffeine,CYP11B2,CYP11B2,True
caffeine,CYP17A1,CYP17A1,True
caffeine,CYP19A1,CYP19A1,True
caffeine,CYP21A2,CYP21A2,True
caffeine,DAB2,DAB2,True
caffeine,DAD1,DAD1,True
caffeine,DGKQ,DGKQ,True
caffeine,DAPK3,DAPK3,True
caffeine,DAXX,DAXX,True
caffeine,DBN1,DBN1,True
caffeine,ECI1,ECI1,True
caffeine,DCK,DCK,True
caffeine,ACE,ACE,True
caffeine,DCT,DCT,True
caffeine,DCT,DCT,True
caffeine,DDX3X,DDX3X,True
caffeine,DDX5,DDX5,True
caffeine,DMXL1,DMXL1,True
caffeine,DHX8,DHX8,True
caffeine,DDX10,DDX10,True
caffeine,CFD,CFD,True
caffeine,DFFA,DFFA,True
caffeine,TIMM8A,TIMM8A,True
caffeine,GSDME,GSDME,True
caffeine,COCH,COCH,True
caffeine,DHCR7,DHCR7,True
caffeine,DHCR24,DHCR24,True
caffeine,DHODH,DHODH,True
caffeine,NQO1,NQO1,True
caffeine,NQO1,NQO1,True
caffeine,NQO1,NQO1,True
caffeine,DIAPH1,DIAPH1,True
caffeine,DKC1,DKC1,True
caffeine,DLG1,DLG1,True
caffeine,DLX2,DLX2,True
caffeine,DMD,DMD,True
caffeine,DMWD,DMWD,True
caffeine,DYNC1H1,DYNC1H1,True
caffeine,DYNC1I2,DYNC1I2,True
caffeine,DYNC1LI2,DYNC1LI2,True
caffeine,DNM2,DNM2,True
caffeine,DNMT1,DNMT1,True
caffeine,DNMT1,DNMT1,True
caffeine,DNMT3A,DNMT3A,True
caffeine,DNMT3A,DNMT3A,True
caffeine,DNMT3B,DNMT3B,True
caffeine,DNMT3B,DNMT3B,True
caffeine,DOCK1,DOCK1,True
caffeine,DOK1,DOK1,True
caffeine,DPP4,DPP4,True
caffeine,DPYSL2,DPYSL2,True
caffeine,DR1,DR1,True
caffeine,DRD2,DRD2,True
caffeine,DRD2,DRD2,True
caffeine,DRD2,DRD2,True
caffeine,DRD2,DRD2,True
caffeine,ARID3A,ARID3A,True
caffeine,ATN1,ATN1,True
caffeine,DSC2,DSC2,True
caffeine,DSP,DSP,True
caffeine,EPYC,EPYC,True
caffeine,SLC26A2,SLC26A2,True
caffeine,DTNA,DTNA,True
caffeine,DUSP8,DUSP8,True
caffeine,DUSP9,DUSP9,True
caffeine,DVL2,DVL2,True
caffeine,DVL3,DVL3,True
caffeine,DYRK1A,DYRK1A,True
caffeine,E2F1,E2F1,True
caffeine,E2F4,E2F4,True
caffeine,ECM1,ECM1,True
caffeine,ECT2,ECT2,True
caffeine,EDN1,EDN1,True
