compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
simvastatin,1514,CTSL,cathepsin L,P07711,P07711;Q5T8F0;Q9HBQ7,54454
simvastatin,1520,CTSS,cathepsin S,P25774,P25774,54454
simvastatin,1524,CX3CR1,C-X3-C motif chemokine receptor 1,P49238,P49238,54454
simvastatin,1535,CYBA,cytochrome b-245 alpha chain,P13498,P13498;B4DT46;H3BNP7,54454
simvastatin,1536,CYBB,cytochrome b-245 beta chain,P04839,P04839;A0A0S2Z3S6,54454
simvastatin,1543,CYP1A1,cytochrome P450 family 1 subfamily A member 1,P04798,P04798;A0N0X8;E7EMT5,54454
simvastatin,1544,CYP1A2,cytochrome P450 family 1 subfamily A member 2,P05177,P05177,54454
simvastatin,1545,CYP1B1,cytochrome P450 family 1 subfamily B member 1,Q16678,Q16678;Q53TK1,54454
simvastatin,1555,CYP2B6,cytochrome P450 family 2 subfamily B member 6,P20813,P20813,54454
simvastatin,1557,CYP2C19,cytochrome P450 family 2 subfamily C member 19,P33261,P33261,54454
simvastatin,1558,CYP2C8,cytochrome P450 family 2 subfamily C member 8,P10632,P10632;B7Z1F5,54454
simvastatin,1559,CYP2C9,cytochrome P450 family 2 subfamily C member 9,P11712,P11712;S5RV20,54454
simvastatin,1565,CYP2D6,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),P10635,P10635;C1ID52;Q5Y7H2,54454
simvastatin,1576,CYP3A4,cytochrome P450 family 3 subfamily A member 4,P08684,P08684;Q6GRK0,54454
simvastatin,1577,CYP3A5,cytochrome P450 family 3 subfamily A member 5,P20815,P20815;B7Z3P6,54454
simvastatin,1578,CYP3A51P,"cytochrome P450 family 3 subfamily A member 51, pseudogene",,,54454
simvastatin,1581,CYP7A1,cytochrome P450 family 7 subfamily A member 1,P22680,P22680,54454
simvastatin,1583,CYP11A1,cytochrome P450 family 11 subfamily A member 1,P05108,P05108;A0A0S2Z3R3,54454
simvastatin,1584,CYP11B1,cytochrome P450 family 11 subfamily B member 1,P15538,P15538;Q8TDD0,54454
simvastatin,1585,CYP11B2,cytochrome P450 family 11 subfamily B member 2,P19099,P19099,54454
simvastatin,1586,CYP17A1,cytochrome P450 family 17 subfamily A member 1,P05093,P05093;Q1HB44,54454
simvastatin,1588,CYP19A1,cytochrome P450 family 19 subfamily A member 1,P11511,P11511;A8K6W3;Q05CU4;Q8IYG4;Q8TCA4,54454
simvastatin,1593,CYP27A1,cytochrome P450 family 27 subfamily A member 1,Q02318,Q02318,54454
simvastatin,1628,DBP,D-box binding PAR bZIP transcription factor,Q10586,Q10586,54454
simvastatin,1641,DCX,doublecortin,O43602,O43602;A0A1B0GWD1;A0A7P0T9C5;A0A804CF28;A8K340,54454
simvastatin,1645,AKR1C1,aldo-keto reductase family 1 member C1,Q04828,Q04828,54454
simvastatin,1717,DHCR7,7-dehydrocholesterol reductase,Q9UBM7,Q9UBM7;A0A024R5F7;A0A804HI25;A0A804HJQ7;A0A8I5KRR9;E9PM00,54454
simvastatin,1718,DHCR24,24-dehydrocholesterol reductase,Q15392,Q15392,54454
simvastatin,1728,NQO1,NAD(P)H quinone dehydrogenase 1,P15559,P15559;B4DLR8,54454
simvastatin,1812,DRD1,dopamine receptor D1,P21728,P21728,54454
simvastatin,1813,DRD2,dopamine receptor D2,P14416,P14416;F8VUV1,54454
simvastatin,1834,DSPP,dentin sialophosphoprotein,Q9NZW4,Q9NZW4,54454
simvastatin,1843,DUSP1,dual specificity phosphatase 1,P28562,P28562;B4DU40,54454
simvastatin,1869,E2F1,E2F transcription factor 1,Q01094,Q01094;Q9BSD8,54454
simvastatin,1901,S1PR1,sphingosine-1-phosphate receptor 1,P21453,P21453,54454
simvastatin,1903,S1PR3,sphingosine-1-phosphate receptor 3,Q99500,Q99500,54454
simvastatin,1906,EDN1,endothelin 1,P05305,P05305;Q6FH53,54454
simvastatin,1909,EDNRA,endothelin receptor type A,P25101,P25101,54454
simvastatin,1956,EGFR,epidermal growth factor receptor,P00533,P00533;B7Z2I3;C9JYS6;E7BSV0;F2YGG7;Q504U8,54454
simvastatin,1958,EGR1,early growth response 1,P18146,P18146;Q546S1,54454
simvastatin,1978,EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1,Q13541,Q13541,54454
simvastatin,2017,CTTN,cortactin,Q14247,Q14247;Q53HG7,54454
simvastatin,2023,ENO1,enolase 1,P06733,P06733;A0A024R4F1;A0A2R8Y6G6,54454
simvastatin,2042,EPHA3,EPH receptor A3,P29320,P29320;A0A140VJJ0;C9JXA2;Q6P4R6,54454
simvastatin,2046,EPHA8,EPH receptor A8,P29322,P29322,54454
simvastatin,2056,EPO,erythropoietin,P01588,P01588;G9JKG7,54454
simvastatin,2057,EPOR,erythropoietin receptor,P19235,P19235,54454
simvastatin,2099,ESR1,estrogen receptor 1,P03372,P03372;A0A125SXW3;A8KAF4;G4XH65;H0Y4W6;Q9UBT1,54454
simvastatin,2147,F2,"coagulation factor II, thrombin",P00734,P00734,54454
simvastatin,2152,F3,"coagulation factor III, tissue factor",P13726,P13726,54454
simvastatin,2194,FASN,fatty acid synthase,P49327,P49327,54454
simvastatin,2222,FDFT1,farnesyl-diphosphate farnesyltransferase 1,P37268,P37268;A0A1W2PQ47;B4DND3;B4DWP0;B7Z9R8;Q6IAX1,54454
simvastatin,2224,FDPS,farnesyl diphosphate synthase,P14324,P14324;A0A087X090,54454
simvastatin,2247,FGF2,fibroblast growth factor 2,P09038,P09038;D9ZGF5,54454
simvastatin,2280,FKBP1A,FKBP prolyl isomerase 1A,P62942,P62942;A0A087WTS4;Q0VDC6,54454
simvastatin,2288,FKBP4,FKBP prolyl isomerase 4,Q02790,Q02790,54454
simvastatin,2308,FOXO1,forkhead box O1,Q12778,Q12778,54454
simvastatin,2309,FOXO3,forkhead box O3,O43524,O43524;A0A856PRE8,54454
simvastatin,2321,FLT1,fms related receptor tyrosine kinase 1,P17948,P17948;L7RSL3,54454
simvastatin,2335,FN1,fibronectin 1,P02751,P02751;B7ZLE5;Q9UQS6,54454
simvastatin,2353,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit",P01100,P01100;Q6FG41,54454
simvastatin,2354,FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit",P53539,P53539,54454
simvastatin,2355,FOSL2,"FOS like 2, AP-1 transcription factor subunit",P15408,P15408;Q9H5M2,54454
simvastatin,2475,MTOR,mechanistic target of rapamycin kinase,P42345,P42345;A0A8V8TQ52,54454
simvastatin,2535,FZD2,frizzled class receptor 2,Q14332,Q14332;Q86UZ8,54454
simvastatin,2538,G6PC1,glucose-6-phosphatase catalytic subunit 1,P35575,P35575,54454
simvastatin,2597,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,P04406,P04406;V9HVZ4,54454
simvastatin,2627,GATA6,GATA binding protein 6,Q92908,Q92908,54454
simvastatin,2660,MSTN,myostatin,O14793,O14793;Q53S46,54454
simvastatin,2665,GDI2,GDP dissociation inhibitor 2,P50395,P50395;Q6IAT1,54454
simvastatin,2668,GDNF,glial cell derived neurotrophic factor,P39905,P39905;A0A0S2Z3T2;A0A0S2Z3V2,54454
simvastatin,2674,GFRA1,GDNF family receptor alpha 1,P56159,P56159;B7Z856,54454
simvastatin,2697,GJA1,gap junction protein alpha 1,P17302,P17302,54454
simvastatin,2706,GJB2,gap junction protein beta 2,P29033,P29033;H9U1J4,54454
simvastatin,2720,GLB1,galactosidase beta 1,P16278,P16278;B7Z6Q5;E7EQ29,54454
simvastatin,2778,GNAS,GNAS complex locus,P63092,O95467;P63092;P84996;Q5JWF2;A0A0A0MR13;A0A0S2Z3H8;A0A0S2Z3S5;A0A590UJF0;A0A590UJQ9;A0A590UK28;A0A7I2V5R6;B0AZR9;Q14455;Q5FWY2;Q5JWD1;Q5JWE9,54454
simvastatin,2782,GNB1,G protein subunit beta 1,P62873,P62873;A0A140VJJ8;B3KVK2;F6X3N5,54454
simvastatin,2875,GPT,glutamic--pyruvic transaminase,P24298,P24298,54454
simvastatin,2876,GPX1,glutathione peroxidase 1,P07203,P07203;A0A2R8Y6B6;A0A7I2UQ36;A0A7I2YMD7;Q7L4Q3,54454
simvastatin,2877,GPX2,glutathione peroxidase 2,P18283,P18283,54454
simvastatin,2908,NR3C1,nuclear receptor subfamily 3 group C member 1,P04150,P04150;E5KQF5;E5KQF6;F1D8N4,54454
simvastatin,2919,CXCL1,C-X-C motif chemokine ligand 1,P09341,P09341,54454
simvastatin,2920,CXCL2,C-X-C motif chemokine ligand 2,P19875,P19875,54454
simvastatin,2932,GSK3B,glycogen synthase kinase 3 beta,P49841,P49841;A0A3B3ITW1;Q6FI27,54454
simvastatin,2950,GSTP1,glutathione S-transferase pi 1,P09211,P09211;V9HWE9,54454
simvastatin,3014,H2AX,H2A.X variant histone,P16104,P16104,54454
simvastatin,3066,HDAC2,histone deacetylase 2,Q92769,Q92769,54454
simvastatin,3091,HIF1A,hypoxia inducible factor 1 subunit alpha,Q16665,Q16665;D0VY79,54454
simvastatin,3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",P01920,P01920;Q5SU54;Q5Y7A9;Q5Y7D3;Q5Y7D6,54454
simvastatin,3122,HLA-DRA,"major histocompatibility complex, class II, DR alpha",P01903,P01903;A0A0G2JMH6,54454
simvastatin,3123,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",P01911,P01911;A0A224MM52;A2BFX2;D7RIG5;D7RIH8;Q5Y7D1;X5DNQ0,54454
simvastatin,3133,HLA-E,"major histocompatibility complex, class I, E",P13747,P13747;A0A4E9D3W4;A8K8M6;O19682,54454
simvastatin,3134,HLA-F,"major histocompatibility complex, class I, F",P30511,P30511;A0A0G2JH66;D0EV57;Q5JZ47;Q5JZ48,54454
