pathway_id,total_count,n_compounds,compounds
1197917,2,1,Ethanolamine
1197919,2,1,Ethanolamine
1197920,2,1,Ethanolamine
1197921,2,1,Ethanolamine
1197923,2,1,Ethanolamine
1197924,2,1,Ethanolamine
1197925,2,1,Ethanolamine
1197927,2,1,Ethanolamine
1197928,2,1,Ethanolamine
1197929,2,1,Ethanolamine
1197931,2,1,Ethanolamine
1197932,2,1,Ethanolamine
1197933,2,1,Ethanolamine
1197935,2,1,Ethanolamine
1197936,2,1,Ethanolamine
1197937,2,1,Ethanolamine
1197939,2,1,Ethanolamine
1197940,2,1,Ethanolamine
1197941,2,1,Ethanolamine
1197943,2,1,Ethanolamine
1197944,2,1,Ethanolamine
1197945,2,1,Ethanolamine
1197947,2,1,Ethanolamine
1197948,2,1,Ethanolamine
1197949,2,1,Ethanolamine
1197951,2,1,Ethanolamine
1197952,2,1,Ethanolamine
1197953,2,1,Ethanolamine
1197955,2,1,Ethanolamine
1197956,2,1,Ethanolamine
1197957,2,1,Ethanolamine
1197959,2,1,Ethanolamine
1197960,2,1,Ethanolamine
1197961,2,1,Ethanolamine
1197963,2,1,Ethanolamine
1197964,2,1,Ethanolamine
1197965,2,1,Ethanolamine
1197967,2,1,Ethanolamine
1197968,2,1,Ethanolamine
1197969,2,1,Ethanolamine
1197971,2,1,Ethanolamine
1197972,2,1,Ethanolamine
1197973,2,1,Ethanolamine
1197975,2,1,Ethanolamine
1197976,2,1,Ethanolamine
1197977,2,1,Ethanolamine
1197979,2,1,Ethanolamine
1197980,2,1,Ethanolamine
1197981,2,1,Ethanolamine
1197983,2,1,Ethanolamine
1197984,2,1,Ethanolamine
1197985,2,1,Ethanolamine
1197987,2,1,Ethanolamine
1197988,2,1,Ethanolamine
1197989,2,1,Ethanolamine
1197991,2,1,Ethanolamine
1197992,2,1,Ethanolamine
1197993,2,1,Ethanolamine
1197995,2,1,Ethanolamine
1197996,2,1,Ethanolamine
1197997,2,1,Ethanolamine
1197999,2,1,Ethanolamine
1198000,2,1,Ethanolamine
1198001,2,1,Ethanolamine
1198003,2,1,Ethanolamine
1198004,2,1,Ethanolamine
1198005,2,1,Ethanolamine
1198007,2,1,Ethanolamine
1198008,2,1,Ethanolamine
1198009,2,1,Ethanolamine
1198011,2,1,Ethanolamine
1198012,2,1,Ethanolamine
1198013,2,1,Ethanolamine
1198015,2,1,Ethanolamine
1198016,2,1,Ethanolamine
