compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
caffeine,126259,TMIGD2,transmembrane and immunoglobulin domain containing 2,Q96BF3,Q96BF3;A0A0B4J2A9,2519
caffeine,83590,TMUB1,transmembrane and ubiquitin like domain containing 1,Q9BVT8,Q9BVT8;A0A090N8Q3,2519
caffeine,7292,TNFSF4,TNF superfamily member 4,P23510,P23510;A0A024R937,2519
caffeine,84629,TNRC18,trinucleotide repeat containing 18,O15417,O15417;A3KMH2,2519
caffeine,7145,TNS1,tensin 1,Q9HBL0,Q9HBL0;A0A2R8Y4T1;A1L0S7;B2RU35;B7Z6H8;E9PF55;E9PGF5;Q0VG54;Q0VG55;Q59G71;Q86VB0,2519
caffeine,10043,TOM1,target of myb1 membrane trafficking protein,O60784,O60784;B3KUF5,2519
caffeine,9868,TOMM70,translocase of outer mitochondrial membrane 70,O94826,O94826,2519
caffeine,11073,TOPBP1,DNA topoisomerase II binding protein 1,Q92547,Q92547;A0A2R8YD63;A0AV47;A7E2X7;Q05BV8,2519
caffeine,9878,TOX4,TOX high mobility group box family member 4,O94842,O94842,2519
caffeine,7158,TP53BP1,tumor protein p53 binding protein 1,Q12888,Q12888;A6NNK5,2519
caffeine,7165,TPD52L2,TPD52 like 2,O43399,O43399;A0A087WYR3;A0A087WZ51;Q68E05;Q6FGS1,2519
caffeine,286262,TPRN,taperin,Q4KMQ1,Q4KMQ1,2519
caffeine,10906,TRAFD1,TRAF-type zinc finger domain containing 1,O14545,O14545,2519
caffeine,83696,TRAPPC9,trafficking protein particle complex subunit 9,Q96Q05,Q96Q05,2519
caffeine,7706,TRIM25,tripartite motif containing 25,Q14258,Q14258,2519
caffeine,51592,TRIM33,tripartite motif containing 33,Q9UPN9,Q9UPN9;B3KN30,2519
caffeine,26060,APPL1,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1",Q9UKG1,Q9UKG1,2519
caffeine,55738,ARFGAP1,ARF GTPase activating protein 1,Q8N6T3,Q8N6T3;Q53F62,2519
caffeine,10564,ARFGEF2,ARF guanine nucleotide exchange factor 2,Q9Y6D5,Q9Y6D5;A0A7P0T7Z2;Q59FR3;Q86TH5,2519
caffeine,51393,TRPV2,transient receptor potential cation channel subfamily V member 2,Q9Y5S1,Q9Y5S1,2519
caffeine,7249,TSC2,TSC complex subunit 2,P49815,P49815;A0A2R8Y6C9;A0A2R8YDZ2;B3KWH7;H3BMQ0;Q5HYF7;X5D2U8;X5D7Q2,2519
caffeine,283989,TSEN54,tRNA splicing endonuclease subunit 54,Q7Z6J9,Q7Z6J9,2519
caffeine,81844,TRIM56,tripartite motif containing 56,Q9BRZ2,Q9BRZ2,2519
caffeine,9322,TRIP10,thyroid hormone receptor interactor 10,Q15642,Q15642;W4VSQ9,2519
caffeine,55621,TRMT1,tRNA methyltransferase 1,Q9NXH9,Q9NXH9,2519
caffeine,55082,ARGLU1,arginine and glutamate rich 1,Q9NWB6,Q9NWB6,2519
caffeine,55114,ARHGAP17,Rho GTPase activating protein 17,Q68EM7,Q68EM7,2519
caffeine,9411,ARHGAP29,Rho GTPase activating protein 29,Q52LW3,Q52LW3;A0A2X0U4J5,2519
caffeine,200081,TXLNA,taxilin alpha,P40222,P40222,2519
caffeine,7301,TYRO3,TYRO3 protein tyrosine kinase,Q06418,Q06418;H0YNK6,2519
caffeine,55075,UACA,uveal autoantigen with coiled-coil domains and ankyrin repeats,Q9BZF9,Q9BZF9,2519
caffeine,64283,ARHGEF28,Rho guanine nucleotide exchange factor 28,Q8N1W1,Q8N1W1,2519
caffeine,9459,ARHGEF6,Rac/Cdc42 guanine nucleotide exchange factor 6,Q15052,Q15052;B7Z3C7;Q8N4Q3,2519
caffeine,10865,ARID5A,AT-rich interaction domain 5A,Q03989,Q03989,2519
caffeine,23204,ARL6IP1,ARL6 interacting reticulophagy regulator 1,Q15041,Q15041,2519
caffeine,10095,ARPC1B,actin related protein 2/3 complex subunit 1B,O15143,O15143;A4D275,2519
caffeine,55236,UBA6,ubiquitin like modifier activating enzyme 6,A0AVT1,A0AVT1,2519
caffeine,63893,UBE2O,ubiquitin conjugating enzyme E2 O,Q9C0C9,Q9C0C9,2519
caffeine,8266,UBL4A,ubiquitin like 4A,P11441,P11441,2519
caffeine,170302,ARX,aristaless related homeobox,Q96QS3,Q96QS3,2519
caffeine,55616,ASAP3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",Q8TDY4,Q8TDY4;A0AAA9YHE6;B4DRP2,2519
caffeine,23304,UBR2,ubiquitin protein ligase E3 component n-recognin 2,Q8IWV8,Q8IWV8;B3KXG6,2519
